Link,Abstract,Led-By,Co-Led-By
https://www.khoury.northeastern.edu/research_projects/nets-medium-towards-transparency-of-personalization-on-the-web/,"This project will develop new research methods to map and quantify the ways in which online search engines, social networks, and e-commerce sites use sophisticated algorithms to tailor content to each individual user. This “personalization” may often be of value to the user, but it also has the potential to distort search results and manipulate the perceptions and behavior of the user. Given the popularity of personalization across a variety of Web-based services, this research has the potential for extremely broad impact. Being able to quantify the extent to which Web-based services are personalized will lead to greater transparency for users, and the development of tools to identify personalized content will allow users to access information that may be hard to access today.",Christo Wilson,Alan Mislove
https://www.khoury.northeastern.edu/research_projects/career-towards-methodologies-and-tools-for-conducting-algorithm-audits/,"This project will develop methodologies and tools for conducting algorithm audits. An algorithm audit uses controlled experiments to examine an algorithmic system, such as an online service or big data information archive, and ascertain (1) how it functions, and (2) whether it may cause harm. Examples of documented harms by algorithms include discrimination, racism, and unfair trade practices. Although there is rising awareness of the potential for algorithmic systems to cause harm, actually detecting this harm in practice remains a key challenge. Given that most algorithms of concern are proprietary and non-transparent, there is a clear need for methods to conduct black-box analyses of these systems. Numerous regulators and governments have expressed concerns about algorithms, as well as a desire to increase transparency and accountability in this area.

This research will develop methodologies to audit algorithms in three domains that impact many people: online markets, hiring websites, and financial services. Auditing algorithms in these three domains will require solving fundamental methodological challenges, such as how to analyze systems with large, unknown feature sets, and how to estimate feature values without ground-truth data. To address these broad challenges, the research will draw on insights from prior experience auditing personalization algorithms. Additionally, each domain also brings unique challenges that will be addressed individually. For example, novel auditing tools will be constructed that leverage extensive online and offline histories. These new tools will allow examination of systems that were previously inaccessible to researchers, including financial services companies. Methodologies, open-source code, and datasets will be made available to other academic researchers and regulators.

This project includes two integrated educational objectives: (1) to create a new computer science course on big data ethics, teaching how to identify and mitigate harmful side-effects of big data technologies, and (2) production of web-based versions of the auditing tools that are designed to be accessible and informative to the general public, that will increase transparency around specific, prominent algorithmic systems, as well as promote general education about the proliferation and impact of algorithmic systems.",Christo Wilson,Christo Wilson
https://www.khoury.northeastern.edu/research_projects/csr-small-towards-confederated-web-based-services/,"Users today have access to a broad range of free, web-based social services. All of these services operate under a similar model: Users entrust the service provider with their personal information and content, and in return, the service provider makes their service available for free by monetizing the user-provided information and selling the results to third parties (e.g., advertisers). In essence, users pay for these services by providing their data (i.e., giving up their privacy) to the provider.

This project is using cloud computing to re-architect web-based services in order to enable end users to regain privacy and control over their data. In this approach—a confederated architecture—each user provides the computing resources necessary to support her use of the service via cloud providers. All user data is encrypted and not exposed to any third-parties, users retain control over their information, and users access the service via a web browser as normal.

The incredible popularity of today’s web-based services has lead to significant concerns over privacy and user control over data. Addressing these concerns requires a re-thinking of the current popular web-based business models, and, unfortunately, existing providers are dis-incentivized from doing so. The impact of this project will potentially be felt by the millions of users who use today’s popular services, who will be provided with an alternative to the business models of today.",Alan Mislove,Christo Wilson
https://www.khoury.northeastern.edu/research_projects/towards-an-evolvable-public-key-infrastructure/,"The Public Key Infrastructure (PKI) is a crucial component of the Internet, providing secure and authenticated communication. However, the PKI has faced challenges in evolving to meet new security concerns and Internet demands. This project introduces assertion-carrying certificates (ACCs), a new technology that enables certificates to include code for evaluation during the validation process. ACCs are applied to facilitate certificate authorities' adaptation to changing certificate delegation and automated issuance demands. Additionally, ACCs and trusted execution environments are utilized to enable web-hosting services to securely manage their customers' cryptographic keys. By developing a new, extensible approach to constraining when identities on the Internet should be trusted, this project aims to make it easier and safer to extend the PKI's capabilities, allowing it to evolve to meet future challenges. The project's code and data will be publicly available for research and deployment.",Taejoong Chung,Christo Wilson
https://www.khoury.northeastern.edu/research_projects/ices-large-collaborative-the-role-of-space-time-and-information-in-controlling-epidemics/,"The control of epidemics relies on interventions that are often voluntary. People's self-interest and behavioral changes impact the effectiveness of these interventions. This project aims to study the foundations of policy design for controlling epidemics using epidemic games on complex networks involving uncertainty, temporal evolution, and learning. It will develop models to capture the complexity of interactions and information exchange and study policies for controlling epidemics. The project integrates approaches from Computer Science, Economics, Mathematics, and Epidemiology and includes curriculum development and a multi-disciplinary workshop for education and outreach.",Rajmohan Rajaraman,Ravi Sundaram
https://www.khoury.northeastern.edu/research_projects/the-other-abilities/,"Sensory Translation in Art explores sensory translation as a means to make art accessible and inclusive. The project investigates the differences between describing an artwork and experiencing it through a different sense using technology. It aims to create alternative ways to experience art by transferring between senses, akin to translating between languages. The project collaborates with artists, composers, engineers, and an art theorist to explore these themes.","Eva Fotiadi
Andreas Tegnander
Mark IJzerman
Alina Ozerova
Ildikó Horvath
Claudio F Baroni
Maria Kandyla
Michele Abolaffio
VibraFusionLabCollective
David Bobier
Jim Ruxton
Jenelle Rouse
Christine ‘Coco’ Roschaert
Rebecca Kleinberger
Akito van Troyer
Mor Efrati
Yonatan Cohen",Eva Fotiadi
https://www.khoury.northeastern.edu/research_projects/the-open-islamicate-texts-initiative-arabic-script-ocr-catalyst-project-openiti-aocp/,"The textual production of the diverse premodern Islamicate cultures stretching from modern Spain to South Asia is one of the most prolific in human history, making it an ideal candidate for digitally enhanced methods of search and analysis. Yet, our ability to bring these diverse literary traditions into the digital realm has been repeatedly frustrated by the underperformance of the currently available OCR solutions for Arabic-script languages. On top of this poor performance, several of them are also prohibitively expensive for academic users and offer limited trainability. For this reason, by late 2016 OpenITI’s work increasingly began to focus on the development of improved open-source OCR for Persian and Arabic through a collaboration with Benjamin Kiessling, then a computer scientist at Leipzig University’s (LU) Alexander von Humboldt Chair for Digital Humanities (now at Université Paris Sciences et Lettres). This collaboration led to a series of studies on Kiessling’s new OCR engine, Kraken, which demonstrated that its neural network-based approach to OCR (now implemented in Tesseract 4’s most recent release too) could routinely achieve accuracy rates on Persian and Arabic print books greater than 97% and, at times, even greater than 98%.",David Smith,Matthew Thomas Miller
https://www.khoury.northeastern.edu/research_projects/the-integrative-genomics-of-acute-asthma-control/,"This project aims to identify the molecular basis of poor asthma control in a well-characterized cohort of asthmatic patients with available genetic, gene expression, and DNA methylation data. Using novel statistical network-modeling approaches, we will model the molecular basis of poor asthma control and define an asthma-control gene network, as well as the genetic, epigenetic, and environmental factors that determine inter-individual differences in asthma control.",Benjamin Raby,Albert-László Barabási
https://www.khoury.northeastern.edu/research_projects/the-control-principles-of-complex-systems/,"Many complex systems, such as human cells, societies, and economic systems, lack obvious control mechanisms. This project proposes that the architecture of these systems is driven by the need for sufficient control to maintain functionality. Uncovering the control principles of complex self-organized systems could reveal fundamental laws governing them.",Albert-László Barabási,Jean-Jacques Slotine
https://www.khoury.northeastern.edu/research_projects/tamago-phone/,"TamagoPhone is a framework and approach that supplements existing egg incubation techniques with a two-way, real-time audio system. It allows parent birds and unhatched eggs to communicate with each other remotely in real-time during incubation. This addresses the issue of depriving embryonic chicks of integral parent-offspring vocal communications during early development, which is common in standard artificial incubation techniques. TamagoPhone includes replacing the real egg with an augmented ""dummy"" egg with a microphone and speaker, which is then cared for by the parent. The artificial incubator is also augmented with microphones and speakers, and both sides are connected by a two-way audio streaming platform. The audio components are inconspicuously integrated, making it possible for parent birds and unhatched eggs to communicate in a natural way while still maintaining the controlled environment of the incubator.",Rebecca Kleinberger,Janelle Sands
https://www.khoury.northeastern.edu/research_projects/medium-table-as-query-unifying-data-discovery-and-alignment/,"Fueled by advances in information extraction and societal trends that value institutional openness and transparency, structured data are being produced and shared at an overwhelming speed. Open data sharing is central to supporting institutional transparency, but transparency is not achieved if shared data cannot be found and effectively aligned with other data being studied by data scientists, journalists, and others. This project will fundamentally contribute to the new science of open data sharing. The requirements for data discovery and integration over heterogeneous table repositories containing structured data are fundamentally different than they are for federated data integration (where for example, all data within an enterprise is integrated) or data exchange (where data is exchanged among a small set of autonomous peers, for example, between two institutions). This project will lay the theoretical foundations of data discovery (identification, alignment, and integration of tables) within table repositories. It will contribute both to developing the right conceptual framework for studying this problem and to designing systems that solve the table discovery and alignment problems at scale.
Today, solutions for data discovery over massive table repositories are in their infancy. Some solutions are highly tied to a specific domain. For example, solutions for finding relevant tables in mass collaboration data (often called web tables) may assume tables are designed for human consumption with rich, human-readable attribute names or metadata, and are relatively small (being designed for display on web pages). Furthermore, solutions often assume that the data scientists know a lot about what data is available and exactly how they want to integrate it with known data. These solutions let a user find tables that join with a specified attribute or union with a query table. But they are inadequate if the best way to extend a query table is to actually join it on several attributes with two other tables and then union the extended result with an existing wider table. This project will develop a more holistic approach to table discovery that both discovers a set of alignable tables as well as the best way to integrate (or align) the new data with a query table. In this new paradigm called “table-as-query”, the user does not need to know a priori on which attributes various tables in a repository are best aligned. This project promotes a research agenda under which discovery finds not a single table, but a set of tables that can be combined (aligned) with the query table. The solutions will include integration choices within the table discovery process, looking for a set of tables that can best be aligned with a query table and also finding what the best alignment is. Importantly, the project will not rely on the unique name assumption, which states that different values refer to different and unique entities. Real data contains synonyms (two values that refer to the same entity) and homographs (one value that refers to more than one entity). This project will define new foundations and mathematical principles for studying table alignment and discovery. The search space is massive, so the project will also develop approximate, scalable solutions that can quickly (at interactive speeds) find a good set of tables and good alignments over massive table repositories with millions of tables.",Renée Miller,Mirek Riedewald
https://www.khoury.northeastern.edu/research_projects/systems-biology-of-airway-disease-core-a/,"The goal of this project is to explore the molecular and network-based similarities and differences between asthma and COPD. Researchers will use network analysis to identify the disease modules for asthma and COPD, and the molecular relationships between them. This work will initially rely on data already collected by investigators, leading to a first round of mechanistic predictions. These predictions will drive the design of subsequent experimental work and data collection, iteratively improving the predictive power of the project. The project has two specific aims: (1) Construct the network infrastructure to predict the disease module relying on data collected by the PPG Projects and Cores; (2) Iteratively enhance the predictive value of the disease module by overlaying data collected by the PPG Projects and Cores. The project will apply network analysis support at different levels: (1) selection and prioritization of the variants and genes associated with airflow obstruction from Project 1; (2) integrating different levels of genomics and transcriptomics data associated with asthma and COPD with the molecular interaction networks (interactome) from Project 2; and (3) identifying and interpreting epigenetic changes (methylation and miRNA) associated with asthma and COPD from Project 3 by integration with protein interactome models",Albert-László Barabási,Albert-László Barabási
https://www.khoury.northeastern.edu/research_projects/summer-school-big-data-and-statistics-for-bench-scientists/,"Northeastern University hosted a Summer School, entitled Big Data and Statistics for Bench Scientists, in the summers of 2016, 2017, and 2018. The attendees were graduate and post-graduate life scientists, working primarily in wet labs generating large datasets. Unlike other educational efforts that emphasize genomic applications, this School targeted scientists working with other experimental technologies. Mass spectrometry-based proteomics and metabolomics was the main focus, however, the School was also appropriate for scientists working with other assays, e.g., nuclear magnetic resonance spectroscopy (NMR), protein arrays, etc. This large community has been traditionally under-served by educational efforts in computation and statistics. This School aimed to fill this void. The Summer School was motivated by feedback from smaller short courses previously co-organized or co-instructed by the PI and covered theoretical and practical aspects of design and analysis of large-scale experimental datasets. The Summer School had a modular format, with 8 20-hour modules scheduled in 2 parallel tracks during 2 consecutive weeks. Each module could be taken independently. The modules were (1) Processing raw mass spectrometric data from proteomic experiments using Skyline, (2) Beginner’s R, (3) Processing raw mass spectrometric data from metabolomic experiments using OpenMS, (4) Intermediate R, (5) Beginner’s guide to statistical experimental design and group comparison, (6) Specialized statistical methods for detecting differentially abundant proteins and metabolites, (7) Statistical methods for discovery of biomarkers of disease, and (8) Introduction to systems biology and data integration. Each module introduced the necessary statistical and computational methodology and contained extensive practical hands-on sessions. Each module was organized by instructors with extensive interdisciplinary teaching experience and supported by several teaching assistants. All the course materials, including videos of the lectures and practical sessions, are publicly available free of charge.",Olga Vitek,Olga Vitek
https://www.khoury.northeastern.edu/research_projects/struct-enabling-secure-and-trustworthy-compartments-in-mobile-applications/,"Society’s dependence on mobile technologies rapidly increases as we entrust mobile applications with more and more private information and capabilities. Existing security research follows a common threat model that treats apps as monolithic entities and only captures attack surface between apps. However, recent research reveals that app internal attacks are emerging quickly as complex entities with conflicting interests are commonly included inside a single app to allow for rich features and fast development.

This project, known as STRUCT, systematically investigates app compartmentalization as a novel and general approach to mitigating the critical yet unaddressed internal threats of apps. It applies this approach to major mobile platforms via solving four challenging and interesting research problems: (1) Deriving principles and models for designing intra-app security mechanisms; (2) Building compiler toolchains for automatically and securely compartmentalizing apps; (3) Building system-level enforcement mechanisms for open platforms; (4) Building app-level system-agnostic enforcement mechanisms for closed platforms. Solutions to these challenges together form a foundation to the design and implementation of intra-app security isolation and policy enforcement, which is currently nonexistent but in high demand.

STRUCT has its broader impact in fostering a new direction in mobile security research and education as well as increasing society’s adoption of mobile technology in security-sensitive scenarios.",Long Lu,Long Lu
https://www.khoury.northeastern.edu/research_projects/twc-medium-collaborative-research-strengthening-wi-fi-network-wide/,"Wi-Fi has become ubiquitous for Internet access, leading to increased complexity and sensitivity of Wi-Fi radios. This project aims to investigate the resiliency of Wi-Fi networks to smart attacks and design robust solutions to resist or counter them. The project will blend theory, experimentation, and prototyping to develop mitigation techniques, algorithms, and open-source software for wireless network cards and access points. The anticipated benefits include a deep understanding of threats facing Wi-Fi, strengthened Wi-Fi networks and emerging standards, and security training for the next generation of radio design and deployment professionals.",Guevara Noubir,Guevara Noubir
https://www.khoury.northeastern.edu/research_projects/shf-small-stabilizing-numeric-programs-against-platform-uncertainties/,"Most computer programs process vast amounts of numerical data. Unfortunately, due to space and performance demands, computer arithmetic comes with its own rules. Making matters worse, different computers have different rules: while there are standardization efforts, efficiency considerations give hardware and compiler designers much freedom to bend the rules to their taste. As a result, the outcome of a computer calculation depends not only on the input, but also on the particular machine and environment in which the calculation takes place. This makes programs brittle and un-portable, and causes them to produce untrusted results. This project addresses these problems, by designing methods to detect inputs to computer programs that exhibit too much platform dependence, and to repair such programs, by making their behavior more robust.",Thomas Wahl,Thomas Wahl
https://www.khoury.northeastern.edu/research_projects/speculator-a-tool-to-analyze-speculative-execution-attacks-and-mitigations/,"Speculator is a tool for studying speculative execution through performance counters. It allows to easily create proof-of-concepts implementations of speculative execution attacks and tests to verify their mitigations. Furthermore, speculator allows very precise measures (u-ops level) of events which gives the ability to reverse engineer speculative execution behavior. Using performance counters makers, it is possible to deterministically observe speculative execution without rely on very noisy and convoluted side-channels.",Engin Kirda,Andrea Mambretti
https://www.khoury.northeastern.edu/research_projects/sonic-and-vocal-enrichment-in-zoos/,"There is a strong disconnect between humans and other species in our societies. Zoos particularly expose this disconnect by displaying the asymmetry between visitors in search of entertainment, and animals often suffering from lack of meaningful interactions and natural behaviors. Enrichment is a way to enhance the quality of life of captive animals, enabling them to express natural behaviors and reducing abnormal stereotypies. Despite the potential for sound-based enrichment and interactivity, current zoo conservation practices are lacking tools and frameworks to leverage innovative technology to improve animal well-being and zookeepers’ ability to care for them. Ethical considerations are called for in the development of such interventions as human understanding of animal’s worlds is still limited, and assumptions can have detrimental consequences. Based on several interventions, we propose four principles to guide a more systematic implementation of sonic enrichment in zoos. Our goal is to lay the groundwork for the design of the zoos of the future, with a focus on sounds, for the benefit of the animals.",Rebecca Kleinberger,Rebecca Kleinberger
https://www.khoury.northeastern.edu/research_projects/smart-and-connected-churches-for-promoting-health-in-disadvantaged-populations/,"This project focuses on development of technologies to improve population health for an underserved urban community in Boston. We are working with communities in a network of 12 churches in the Boston area, along with volunteers who provide health promotion outreach (“Health Ministry”), the church leadership, and a community liaison affiliated with a hospital, to improve the overall health of this predominately African American community. African Americans struggle significantly more with many health behaviors (e.g., smoking, physical activity) and have significantly higher rates of many chronic health conditions (e.g., diabetes, hypertension), compared to other racial and ethnic groups. In this effort, we are collaborating with members of the Black Ministerial Alliance of Boston and Health Ministry leaders of member churches to develop a range of sensing, monitoring, and messaging technologies to provide a smartphone-based conversational agent system that can improve health for community members. The system will empower this community of individuals to collectively solve health-relevant problems it identifies as important, such as exercise and diet promotion.",Timothy W. Bickmore,Timothy W. Bickmore
https://www.khoury.northeastern.edu/research_projects/signaligner-pro/,"Human activity recognition using wearable accelerometers can enable in-situ detection of physical activities to support novel human-computer interfaces. Activity recognition algorithms use data on the motion and orientation of limbs to detect activities such as walking, sitting, and sleeping, among others. Many of the machine-learning-based algorithms require multi-person, multi-day, carefully-annotated training data with precisely marked start and end times of the activities of interest. To date, there is a dearth of usable tools that enable researchers to conveniently visualize and annotate multiple days of high-sampling-rate raw accelerometer data. We developed “Signaligner Pro” – a data annotation tool to enable researchers to conveniently and quickly explore and annotate multi-day high-sampling rate raw sensor data with the assistance from state-of-the-art activity recognition algorithms. The tool visualizes high-sampling rate raw data and time-stamped annotations generated by existing activity recognition algorithms; the annotations can then be directly modified by the researchers to create their own, improved, labeled datasets.",,
https://www.khoury.northeastern.edu/research_projects/shf-small-secure-compilation-of-advanced-languages/,"Advanced programming languages, based on dependent types, enable program verification alongside program development, thus making them an ideal tool for building fully verified, high assurance software. Recent dependently typed languages that permit reasoning about state and effects—such as Hoare Type Theory (HTT) and Microsoft’s F*—are particularly promising and have been used to verify a range of rich security policies, from state-dependent information flow and access control to conditional declassification and information erasure. But while these languages provide the means to verify security and correctness of high-level source programs, what is ultimately needed is a guarantee that the same properties hold of compiled low-level target code. Unfortunately, even when compilers for such advanced languages exist, they come with no formal guarantee of correct compilation, let alone any guarantee of secure compilation—i.e., that compiled components will remain as secure as their high-level counterparts when executed within arbitrary low-level contexts. This project seeks to demonstrate how to build realistic yet secure compilers. This is a notoriously difficult problem. On one hand, a secure compiler must ensure that low-level contexts cannot launch any “attacks” on the compiled component that would have been impossible to launch in the high-level language. On the other hand, a realistic compiler cannot simply limit the expressiveness of the low-level target language to achieve the security goal.",Amal Ahmed,Amal Ahmed
https://www.khoury.northeastern.edu/research_projects/career-scaling-approximate-inference-and-approximation-aware-learning-national-science-foundation/,The project aims to scale approximate inference by generalizing two scalable methods and developing scalable approximation-aware learning methods. The hypothesis is that this approach will increase end-to-end prediction accuracy and scalability. The project focuses on four sub-problems: (1) approximating probabilistic conjunctive queries with relational databases; (2) learning probabilities in uncertain databases based on feedback; (3) approximating exact probabilistic inference in undirected graphical models; and (4) developing a framework for learning linearized potentials from partially labeled data.,Wolfgang Gatterbauer,Dan Suciu
https://www.khoury.northeastern.edu/research_projects/ci-en-collaborative-run-your-research-with-redex/,"This project focuses on developing REDEX, a tool for modeling programming languages for software development. With REDEX, users can create models of programming languages as software artifacts, allowing them to test consistency, explore properties, and check claims. This project aims to improve REDEX by creating a modular system, enhancing scalability for large models, and improving testing and error detection. It also includes support for user education through tutorials and workshops.",Matthias Felleisen,Matthias Felleisen
https://www.khoury.northeastern.edu/research_projects/onr-roseta-5g-robust-and-secure-tactical-5g-slice/,"In this project, we have focused on analyzing security vulnerabilities in the latest 5G systems and developing and analyzing provably secure solutions that protect against sophisticated attacks targeting resiliency, security and privacy.",Guevara Noubir,Guevara Noubir
https://www.khoury.northeastern.edu/research_projects/rocket-scalable-and-agile-analysis-of-mass-spectrometry-experiments/,"Mass spectrometry rapidly generates complex and large datasets that necessitate new statistical methods and tools for analysis. ROCKET builds an enabling technology for working with large mass spectrometric datasets in R and rapidly developing new algorithms. It supports scaling down and scaling up analyses, generates efficient mixtures of R and target code, and ensures compatibility with mass spectrometry-specific open data storage standards. ROCKET democratizes access to R-based data analysis for a broader community of life scientists and creates a blueprint for a new paradigm for R-based computing with large datasets.",Olga Vitek,Jan Vitek
https://www.khoury.northeastern.edu/research_projects/robotreviewer/,"Evidence Based Medicine (EBM) aims to systematically use the best available evidence to inform medical decision making. This paradigm has revolutionized clinical practice over the past 30 years. The most important tool for EBM is the systematic review, which provides a rigorous, comprehensive and transparent synthesis of all current evidence concerning a specific clinical question. These syntheses enable decision makers to consider the entirety of the relevant published evidence.

Systematic reviews now inform everything from national health policy to bedside care. But producing these reviews requires researchers to identify the entirety of the relevant literature and then extract from this the information to be synthesized; a hugely laborious and expensive exercise. Moreover, the unprecedented growth of the biomedical literature has increased the burden on those trying to make sense of the published evidence base. Concurrently, more systematic reviews are being conducted every year to synthesize the expanding evidence base; tens of millions of dollars are spent annually conducting these reviews.

RobotReviewer aims to mitigate this issue by (semi-) automating evidence synthesis using machine learning and natural language processing.",Byron Wallace,
